time,function,request_id,ip,message
2024-05-05 01:33:32.529271,[authz_core:error],bb684cdf759ee9d78c313fd935e88447,78.153.140.218:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-05 17:12:23.618603,[autoindex:error],8902dc03ab5d5c41473ac3e7ef090cf2,87.236.176.186:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-06 02:36:27.665881,[autoindex:error],c51a8bb012140d6cfd7f6ea656e0adaa,167.94.138.62:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-06 04:11:22.530133,[autoindex:error],27396322b56846205b5b5f40a57fba6b,199.45.154.30:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-07 17:23:07.557469,[-:error],5a3414507c1520455f0b4538c7a75b81,85.203.47.154:0,"[client 85.203.47.154] ModSecurity: lws-antivirus skipped, file /tmp/20240507-172307-ZjpHW92VKKvtqFQh7cKv-wAAABY-file-P27XeG size is 0 bytes [hostname 'laboratoire-orphye.org'] [uri '/Contacts/'] [unique_id 'ZjpHW92VKKvtqFQh7cKv-wAAABY']"
2024-05-08 06:25:57.516096,[autoindex:error],d03633ba776a075ad1d6cd4fc57b0765,139.59.132.8:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-08 06:25:57.551972,[autoindex:error],607fc0e2f81f1ffe708291b023444219,139.59.132.8:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-08 06:25:57.591861,[core:error],169dd84ac1a0dd8067dca04e07447ea1,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.591938,[core:error],169dd84ac1a0dd8067dca04e07447ea1,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.628467,[core:error],b8b6a0df0faa1315bbb4b01ed9e6060f,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.628530,[core:error],b8b6a0df0faa1315bbb4b01ed9e6060f,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.667212,[core:error],e6f4b831d35d9fee1a69991cbd81a11c,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.667302,[core:error],e6f4b831d35d9fee1a69991cbd81a11c,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.707545,[core:error],d8cdd49339ec4312b5e266de94d39ba2,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.707620,[core:error],d8cdd49339ec4312b5e266de94d39ba2,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.744901,[core:error],4a36a95c4b62fe40dd21ddbce3553c81,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.744966,[core:error],4a36a95c4b62fe40dd21ddbce3553c81,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.781550,[core:error],747b8ffb60fa65df489f6c04cbbce300,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.781625,[core:error],747b8ffb60fa65df489f6c04cbbce300,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.818593,[core:error],c2b1b447daa9870334a8e445d835e8f3,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.818668,[core:error],c2b1b447daa9870334a8e445d835e8f3,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.858332,[core:error],057e5f8ae7cfa48f3d585412dd1e67fd,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.858413,[core:error],057e5f8ae7cfa48f3d585412dd1e67fd,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.895378,[core:error],c503118e6ed066b97cfc37db2fd28365,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.895457,[core:error],c503118e6ed066b97cfc37db2fd28365,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.932962,[core:error],ff14582a461bb253610cee2999a6e476,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.933020,[core:error],ff14582a461bb253610cee2999a6e476,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:57.967321,[authz_core:error],01268aa73af0b5e37cb2e6baf5443b76,139.59.132.8:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/.env
2024-05-08 06:25:58.000683,[-:error],0bb678807bb25f3d7d91aff208ae8f98,139.59.132.8:0,[client 139.59.132.8] ModSecurity: Access denied with code 406 (phase 2). String match '/.git/config' at REQUEST_URI. [file 'remote server'] [line '-1'] [id '430058'] [msg 'Malware.Expert - request_uri: .git config'] [hostname 'vatel.laboratoire-orphye.org'] [uri '/.git/config'] [unique_id 'Zjr-1RbGQZjslnSdOQVpRgAAAEo']
2024-05-08 06:25:58.037487,[core:error],9b63ecea548f6c390d7ab8e52aa84086,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.037556,[core:error],9b63ecea548f6c390d7ab8e52aa84086,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.074496,[core:error],2cfcb988055ccbb71a6455d30cce1524,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.074562,[core:error],2cfcb988055ccbb71a6455d30cce1524,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.112607,[core:error],f0093b27aabe9643db077b1df016eba3,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.112693,[core:error],f0093b27aabe9643db077b1df016eba3,139.59.132.8:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.148069,[autoindex:error],296d311c1a3aa5a0ae73223901928e29,139.59.132.8:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-08 06:25:58.310276,[autoindex:error],414d0011d7ab552b5c60606c55f4a003,139.162.141.82:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-08 06:25:58.665302,[autoindex:error],e5f46233286a3af03d424890df88a57e,139.162.141.82:0,"AH01276: Cannot serve directory /var/www/laboratoire-orphye.org/htdocs/vatel.laboratoire-orphye.org/: No matching DirectoryIndex (index.php,index.cgi,index.html) found, and server-generated directory index forbidden by Options directive"
2024-05-08 06:25:58.699056,[authz_core:error],a9f6096bfc40e8375ff2ea2e274367b8,64.227.32.66:0,AH01630: client denied by server configuration: /var/www/laboratoire-orphye.org/htdocs/.env
2024-05-08 06:25:58.722503,[core:error],7f9ba63c3aa76c1724c035bb1f244864,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.722553,[core:error],7f9ba63c3aa76c1724c035bb1f244864,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.741764,[-:error],fbcf4dea10db43429009281c00c2bb8f,64.227.32.66:0,[client 64.227.32.66] ModSecurity: Access denied with code 406 (phase 2). String match '/.git/config' at REQUEST_URI. [file 'remote server'] [line '-1'] [id '430058'] [msg 'Malware.Expert - request_uri: .git config'] [hostname 'www.laboratoire-orphye.org'] [uri '/.git/config'] [unique_id 'Zjr-1hbGQZjslnSdOQVpZAAAAFE']
2024-05-08 06:25:58.774626,[core:error],21455e522f915c0f9299fed0b86dff73,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.774706,[core:error],21455e522f915c0f9299fed0b86dff73,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.825543,[core:error],7506b875652bda9f35125f7283521501,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.825601,[core:error],7506b875652bda9f35125f7283521501,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.875552,[core:error],4bde36a8804715008c2f0b08f8e750e0,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.875594,[core:error],4bde36a8804715008c2f0b08f8e750e0,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.926738,[core:error],3ffd29ccbe093acedd77d963f73fcae9,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.926801,[core:error],3ffd29ccbe093acedd77d963f73fcae9,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
2024-05-08 06:25:58.977469,[core:error],79428565e8ed4102ea291b5052e1f07a,139.162.141.82:0,AH00124: Request exceeded the limit of 10 internal redirects due to probable configuration error. Use 'LimitInternalRecursion' to increase the limit if necessary. Use 'LogLevel debug' to get a backtrace.
